_id,timestamp,device_id,device_id
3798494,1643949722433.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3798495,1643949755906.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3798496,1643949906246.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3798497,1643949906716.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3798498,1643949907145.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3798499,1643949930429.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3800502,1643953707272.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3800503,1643954510309.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3800504,1643954580935.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3800505,1643954644703.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3800506,1643954979092.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3800507,1643955113184.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3801892,1643956694345.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3801893,1643956696445.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3801894,1643957375141.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3801895,1643958629540.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3804596,1643980164087.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3804597,1643980252819.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3804598,1643980802532.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3805430,1643980896688.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3806947,1643985829121.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3806948,1643985835843.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3808579,1643989010134.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3808580,1643989383781.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
3810562,1643992839721.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,3
3810563,1643992931565.0,3b2d582a-bc94-4a40-a6b7-11256c664dbd,2
